,
11/11/2014,28
11/12/2014,12
11/13/2014,11
11/14/2014,28
11/16/2014,4
11/17/2014,248
11/18/2014,20
11/19/2014,71
11/20/2014,133
11/21/2014,708
11/22/2014,1192
11/23/2014,1151
11/24/2014,1693
11/25/2014,1522
11/26/2014,1632
11/27/2014,1133
11/28/2014,1204
11/29/2014,964
11/30/2014,1035
12/1/2014,502
12/2/2014,1339
12/3/2014,1715
12/4/2014,1275
12/5/2014,1456
12/6/2014,956
12/7/2014,1090
12/8/2014,1626
12/9/2014,1237
12/10/2014,987
12/11/2014,1920
12/12/2014,1833
12/13/2014,1794
12/14/2014,1554
12/15/2014,1939
12/16/2014,2025
12/17/2014,2397
12/18/2014,1532
12/19/2014,2304
12/20/2014,1539
12/21/2014,3332
12/22/2014,3795
12/23/2014,4796
12/24/2014,4242
12/25/2014,4725
12/26/2014,4068
12/27/2014,4268
12/28/2014,3963
12/29/2014,4082
12/30/2014,5629
12/31/2014,3759
1/1/2015,2700
1/2/2015,4679
1/3/2015,6214
1/4/2015,7281
1/5/2015,7871
1/6/2015,6942
1/7/2015,5667
1/8/2015,6702
1/9/2015,6581
1/10/2015,8123
1/11/2015,6662
1/12/2015,7220
1/13/2015,7574
1/14/2015,8900
1/15/2015,7603
1/16/2015,7159
1/17/2015,6595
1/18/2015,5763
1/19/2015,8694
1/20/2015,8056
1/21/2015,8044
1/22/2015,7886
1/23/2015,7543
1/24/2015,8306
1/25/2015,9899
1/26/2015,8321
1/27/2015,7461
1/28/2015,9668
1/29/2015,8208
1/30/2015,8863
1/31/2015,6700
2/1/2015,6837
2/2/2015,7584
2/3/2015,8269
2/4/2015,10889
2/5/2015,9505
2/6/2015,10443
2/7/2015,8946
2/8/2015,9829
2/9/2015,8893
2/10/2015,7136
2/11/2015,8033
2/12/2015,7896
2/13/2015,9525
2/14/2015,6940
2/15/2015,10315
2/16/2015,6718
2/17/2015,8410
2/18/2015,8261
2/19/2015,7031
2/20/2015,11304
2/21/2015,12303
2/22/2015,17441
2/23/2015,15028
2/24/2015,14144
2/25/2015,11245
2/26/2015,11409
2/27/2015,12160
2/28/2015,10881
3/1/2015,9953
3/2/2015,10095
3/3/2015,8675
3/4/2015,9838
3/5/2015,9905
3/6/2015,8257
3/7/2015,9329
3/8/2015,10206
3/9/2015,10883
3/10/2015,9072
3/11/2015,9449
3/12/2015,28810
3/13/2015,9779
3/14/2015,8945
3/15/2015,9844
3/16/2015,11104
3/17/2015,32864
3/18/2015,12123
3/19/2015,12904
3/20/2015,11709
3/21/2015,12249
3/22/2015,8627
3/23/2015,14788
3/24/2015,13435
3/25/2015,14083
3/26/2015,16091
3/27/2015,17995
3/28/2015,11228
3/29/2015,27745
3/30/2015,30396
3/31/2015,14091
4/1/2015,14035
4/2/2015,16735
4/3/2015,38950
4/4/2015,20655
4/5/2015,15756
4/6/2015,22930
4/7/2015,20859
4/8/2015,20248
4/9/2015,14484
4/10/2015,36150
4/11/2015,10467
4/12/2015,10763
4/13/2015,25830
4/14/2015,15196